fecha,Flujo (L/día)
2017-09-15,0.0
2016-09-23,0.0
2017-03-04,0.002
2017-04-29,0.0
2016-09-04,0.0
2016-09-20,0.0
2017-09-20,0.072
2017-08-18,0.002
2016-09-17,0.0
2017-05-04,0.016
2017-04-23,0.0
2017-03-20,0.146
2017-03-29,0.03
2017-04-06,0.0
2017-06-25,0.203
2017-09-19,0.104
2017-02-17,0.0
2017-05-28,0.288
2016-09-13,0.0
2016-06-14,0.0
2016-06-05,0.37
2017-04-10,0.0
2017-09-22,0.0
2016-07-09,0.0
2017-09-08,0.0
2016-11-19,0.03
2016-07-18,0.022
2016-09-18,0.0
2017-04-11,0.0
2017-07-21,0.0
2017-02-23,0.002
2017-09-07,0.07
2016-07-07,0.0
2017-01-01,0.003
2016-09-16,0.0
2016-08-10,0.0
2016-06-11,0.0
2016-07-17,0.0
2016-06-22,0.0
2017-09-26,0.0
2016-08-28,0.05
2017-05-10,0.0
2017-08-26,0.166
2017-09-17,0.01
2016-12-19,0.005
2016-11-23,0.061
2017-05-21,0.0
2016-12-20,0.059
2017-02-24,0.0
2017-04-17,0.0
2016-07-24,0.0
2017-05-23,0.0
2017-07-27,0.0
2016-06-24,0.088
2017-04-12,0.0
2016-07-21,0.0
2016-09-01,0.0
2017-04-13,0.011
2017-06-13,0.238
2017-03-28,0.0
2017-09-03,0.227
2017-02-14,0.003
2017-01-28,0.0
2017-04-25,0.0
2016-10-24,0.0
2017-01-16,0.0
2017-10-07,0.019
2017-02-27,0.003
2017-01-18,0.0
2017-07-18,0.0
2017-04-30,0.0
2016-07-05,0.24
2017-03-12,0.0
2017-01-08,0.0
2017-02-02,0.005
2016-09-11,0.136
2017-08-03,0.0
2017-07-31,0.0
2016-12-18,0.05
2016-11-10,0.0
2017-01-13,0.0
2016-11-20,0.146
2017-03-27,0.0
2016-09-24,0.0
2016-06-17,0.069
2017-07-28,0.0
2016-08-27,0.083
2016-06-10,0.0
2017-01-27,0.0
2016-09-12,0.102
2016-12-23,0.0
2017-08-07,0.0
2016-12-08,0.078
2017-05-15,0.0
2017-08-09,0.0
2016-11-15,0.0
2016-07-22,0.0
2017-04-07,0.0
2016-07-10,0.0
2017-03-21,0.006
2017-09-05,0.0
2016-10-03,0.0
2016-12-04,0.07
2016-06-08,0.0
2017-05-03,0.0
2016-11-17,0.0
2017-07-24,0.0
2016-08-22,0.002
2017-10-08,0.086
2017-04-24,0.0
2017-05-22,0.0
2016-08-31,0.0
2017-01-12,0.0
2017-10-11,0.058
2016-12-17,0.014
2016-12-21,0.0
2017-02-09,0.0
2017-06-10,0.0
2016-12-13,0.0
2016-10-27,0.0
2017-02-19,0.0
2017-09-25,0.0
2017-06-14,0.261
2016-11-18,0.0
2017-01-10,0.0
2016-12-11,0.0
2017-02-11,0.0
2016-09-19,0.0
2016-09-06,0.0
2017-08-30,0.0
2016-08-11,0.024
2017-08-14,0.0
2016-09-15,0.002
2017-08-17,0.0
2017-01-03,0.0
2017-06-23,0.014
2017-09-04,0.07
2017-02-26,0.0
2017-03-13,0.0
2016-05-29,0.0
2017-03-17,0.0
2016-09-03,0.0
2017-08-10,0.0
2017-10-10,0.019
2017-01-04,0.0
2016-12-29,0.022
2016-11-25,0.061
2017-03-18,0.0
2016-12-06,0.0
2016-11-03,0.0
2016-11-27,0.002
2016-06-15,0.0
2016-09-07,0.002
2017-02-01,0.03
2017-03-02,0.018
2017-10-09,0.0
2017-02-03,0.109
2016-09-22,0.0
2017-10-13,0.013
2016-07-15,0.202
2017-08-06,0.0
2017-07-17,0.0
2017-01-31,0.166
2016-11-06,0.002
2017-02-07,0.0
2017-01-19,0.0
2017-04-20,0.016
2016-08-16,0.0
2017-01-15,0.0
2017-08-27,0.253
2017-07-13,0.0
2017-07-19,0.0
2016-07-23,0.0
2016-11-09,0.0
2017-07-30,0.0
2016-08-18,0.0
2016-12-15,0.005
2017-03-14,0.042
2016-11-04,0.0
2017-04-09,0.0
2017-07-14,0.0
2017-05-09,0.141
2016-12-28,0.0
2016-08-17,0.0
2017-03-31,0.0
2017-01-07,0.0
2017-06-22,0.128
2016-08-13,0.0
2017-04-26,0.0
2017-02-20,0.0
2017-02-06,0.0
2017-07-01,0.0
2016-12-02,0.0
2016-08-26,0.024
2016-09-10,0.048
2016-10-30,0.189
2017-01-14,0.0
2017-02-18,0.011
2017-06-28,0.229
2016-10-23,0.088
2017-02-04,0.0
2017-01-17,0.0
2017-05-05,0.069
2016-12-07,0.0
2017-09-28,0.053
2016-09-26,0.003
2017-03-06,0.0
2017-03-25,0.173
2017-08-28,0.205
2017-03-15,0.0
2017-05-13,0.0
2017-04-21,0.0
2017-08-16,0.0
2017-04-14,0.146
2017-05-02,0.098
2017-09-27,0.0
2017-08-25,0.16
2017-04-08,0.002
2017-07-22,0.0
2016-11-13,0.0
2016-07-08,0.123
2017-05-07,0.034
2017-03-16,0.006
2017-04-03,0.0
2016-08-29,0.115
2016-12-03,0.0
2017-01-26,0.013
2016-07-03,0.0
2016-09-14,0.15
2016-05-31,0.238
2017-03-05,0.0
2016-09-08,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-05-20,0.0
2016-07-01,0.0
2017-09-01,0.074
2017-01-06,0.0
2017-07-10,0.0
2016-08-30,0.158
2017-09-09,0.0
2017-05-14,0.0
