fecha,Flujo (L/día)
2016-09-07,0.002
2017-07-13,0.0
2017-09-20,0.072
2017-04-08,0.002
2017-08-29,0.002
2017-02-06,0.0
2017-09-02,0.066
2017-04-03,0.0
2017-02-24,0.0
2016-11-20,0.146
2016-07-07,0.0
2016-09-02,0.0
2016-11-18,0.0
2016-12-04,0.07
2016-11-09,0.0
2017-01-25,0.0
2017-10-10,0.019
2016-06-14,0.0
2017-03-31,0.0
2016-10-29,0.059
2016-12-13,0.0
2017-10-06,0.102
2017-03-06,0.0
2017-08-15,0.0
2016-07-10,0.0
2016-08-27,0.083
2016-11-13,0.0
2017-01-31,0.166
2016-07-02,0.0
2016-12-18,0.05
2017-07-28,0.0
2017-04-23,0.0
2017-02-23,0.002
2017-02-11,0.0
2017-05-03,0.0
2017-06-21,0.138
2016-07-22,0.0
2017-02-12,0.0
2017-08-18,0.002
2017-02-19,0.0
2016-11-02,0.0
2016-05-31,0.238
2017-02-16,0.0
2017-09-17,0.01
2017-04-20,0.016
2017-02-18,0.011
2016-09-20,0.0
2016-06-21,0.0
2017-02-20,0.0
2016-09-13,0.0
2017-07-17,0.0
2017-08-27,0.253
2017-06-10,0.0
2017-08-08,0.0
2016-12-20,0.059
2017-03-15,0.0
2017-01-09,0.0
2017-08-25,0.16
2017-09-25,0.0
2016-12-30,0.059
2016-10-03,0.0
2017-01-07,0.0
2017-05-02,0.098
2017-03-18,0.0
2016-10-30,0.189
2017-01-06,0.0
2016-07-21,0.0
2017-05-13,0.0
2016-11-30,0.005
2016-08-18,0.0
2016-12-08,0.078
2016-11-04,0.0
2016-10-28,0.091
2016-08-12,0.0
2016-07-16,0.0
2017-07-24,0.0
2017-07-18,0.0
2016-09-25,0.0
2016-10-22,0.339
2017-03-17,0.0
2016-09-06,0.0
2017-03-11,0.0
2016-10-24,0.0
2016-12-05,0.016
2017-01-04,0.0
2017-04-13,0.011
2017-07-16,0.0
2017-01-12,0.0
2017-01-21,0.0
2016-11-19,0.03
2017-02-10,0.0
2017-01-16,0.0
2017-02-21,0.0
2017-04-05,0.008
2016-06-05,0.37
2017-03-19,0.006
2017-08-31,0.056
2017-02-08,0.0
2017-10-12,0.042
2017-01-26,0.013
2017-09-08,0.0
2017-02-17,0.0
2017-10-08,0.086
2016-08-20,0.0
2017-09-04,0.07
2017-03-08,0.0
2017-08-14,0.0
2016-08-15,0.0
2017-08-30,0.0
2016-07-01,0.0
2017-09-28,0.053
2017-04-10,0.0
2016-09-24,0.0
2017-08-02,0.0
2017-10-03,0.0
2017-03-20,0.146
2017-01-11,0.0
2016-09-15,0.002
2017-10-02,0.0
2017-06-23,0.014
2017-06-25,0.203
2016-08-25,0.082
2016-11-29,0.0
2017-02-28,0.0
2016-08-14,0.0
2017-03-01,0.0
2016-12-19,0.005
2016-08-26,0.024
2016-07-06,0.016
2017-06-07,0.032
2016-09-10,0.048
2017-05-19,0.0
2016-08-21,0.0
2017-01-15,0.0
2017-05-09,0.141
2017-01-19,0.0
2016-09-11,0.136
2016-12-10,0.114
2016-06-19,0.107
2016-11-17,0.0
2017-09-09,0.0
2017-09-07,0.07
2017-09-13,0.166
2016-09-05,0.0
2017-05-07,0.034
2016-09-08,0.0
2016-07-15,0.202
2016-07-12,0.133
2017-01-05,0.0
2017-08-07,0.0
2017-08-10,0.0
2017-01-17,0.0
2016-11-25,0.061
2016-11-28,0.0
2016-07-18,0.022
2017-03-14,0.042
2017-05-14,0.0
2017-01-18,0.0
2016-09-26,0.003
2017-03-03,0.05
2016-09-19,0.0
2017-05-16,0.0
2017-03-30,0.0
2017-07-26,0.0
2017-03-22,0.013
2017-04-24,0.0
2017-05-10,0.0
2017-08-09,0.0
2016-07-05,0.24
2017-03-29,0.03
2017-04-01,0.0
2017-06-13,0.238
2017-02-27,0.003
2017-05-18,0.0
2016-12-11,0.0
2017-04-27,0.0
2017-05-05,0.069
2017-02-09,0.0
2017-09-05,0.0
2017-07-23,0.0
2017-02-13,0.0
2017-04-06,0.0
2017-03-13,0.0
2017-09-03,0.227
2017-05-21,0.0
2017-08-26,0.166
2016-12-29,0.022
2016-12-21,0.0
2016-06-09,0.0
2016-08-31,0.0
2016-06-06,0.254
2017-04-25,0.0
2017-03-23,0.0
2017-01-02,0.0
2017-09-22,0.0
2016-06-16,0.0
2017-10-11,0.058
2016-12-01,0.0
2016-06-10,0.0
2016-12-16,0.029
2016-07-23,0.0
2016-07-08,0.123
2017-02-22,0.019
2017-03-27,0.0
2016-11-15,0.0
2016-11-08,0.002
2017-04-09,0.0
2017-07-21,0.0
2017-02-14,0.003
2017-07-25,0.0
2017-04-04,0.037
2016-09-04,0.0
2016-06-02,0.0
2016-08-16,0.0
2017-01-13,0.0
2016-07-09,0.0
2016-09-16,0.0
2017-08-03,0.0
2016-06-07,0.0
2016-12-07,0.0
2016-12-17,0.014
2017-03-28,0.0
2016-07-03,0.0
2016-09-21,0.0
2017-07-01,0.0
2017-03-25,0.173
2017-03-21,0.006
2016-06-23,0.0
2017-02-04,0.0
2017-07-14,0.0
2016-08-10,0.0
2017-07-19,0.0
2016-12-03,0.0
2017-05-17,0.0
2017-02-15,0.0
2016-09-23,0.0
2017-05-04,0.016
2017-03-02,0.018
2017-05-15,0.0
2016-11-27,0.002
2017-04-21,0.0
2017-06-14,0.261
